Transaction ID,Date,Customer ID,Country,Gender,Age,Product Category,Quantity,Price per Unit,Order Status
1,1/1/2022,CUST001,Taiwan,Male,53,Electronics,7,127,Completed
2,1/2/2022,CUST002,Indonesia,Female,38,Beauty,4,117,Completed
3,1/3/2022,CUST003,Philippines,Male,32,Clothing,13,39,Completed
4,1/4/2022,CUST004,Malaysia,Female,45,Clothing,15,131,Completed
5,1/5/2022,CUST005,Poland,Female,48,Electronics,11,96,Completed
6,1/6/2022,CUST006,Thailand,Female,38,Clothing,8,45,Completed
7,1/7/2022,CUST007,Germany,Male,22,Clothing,13,127,Completed
8,1/8/2022,CUST008,Mexico,Female,62,Clothing,5,146,Completed
9,1/9/2022,CUST009,Vietnam,Male,36,Electronics,7,99,Completed
10,1/10/2022,CUST010,Italy,Male,51,Electronics,10,112,Completed
11,1/11/2022,CUST011,Germany,Female,38,Clothing,3,141,Completed
12,1/12/2022,CUST012,Turkey,Female,60,Electronics,7,124,Completed
13,1/13/2022,CUST013,United Kingdom,Male,53,Electronics,11,128,Completed
14,1/14/2022,CUST014,Turkey,Male,57,Electronics,11,155,Completed
15,1/15/2022,CUST015,France,Female,51,Beauty,8,174,Cancelled
16,1/16/2022,CUST016,South Korea,Female,51,Electronics,5,77,Completed
17,1/17/2022,CUST017,Germany,Male,61,Beauty,4,26,Completed
18,1/18/2022,CUST018,Bangladesh,Male,27,Clothing,8,112,Completed
19,1/19/2022,CUST019,South Korea,Female,44,Beauty,8,62,Cancelled
20,1/20/2022,CUST020,United Kingdom,Male,45,Electronics,3,154,Completed
21,1/21/2022,CUST021,Poland,Female,25,Electronics,6,45,Completed
22,1/22/2022,CUST022,Bangladesh,Female,33,Electronics,5,82,Completed
23,1/23/2022,CUST023,Turkey,Female,48,Clothing,2,46,Completed
24,1/24/2022,CUST024,Thailand,Female,64,Beauty,8,113,Completed
25,1/25/2022,CUST025,Poland,Female,31,Electronics,12,73,Completed
26,1/26/2022,CUST026,Taiwan,Male,28,Clothing,14,83,Completed
27,1/27/2022,CUST027,Japan,Female,35,Beauty,6,39,Completed
28,1/28/2022,CUST028,Poland,Female,22,Beauty,2,75,Completed
29,1/29/2022,CUST029,USA,Male,33,Clothing,12,132,Completed
30,1/30/2022,CUST030,India,Female,20,Electronics,5,79,Completed
31,1/31/2022,CUST031,Germany,Female,52,Beauty,1,88,Completed
32,2/1/2022,CUST032,USA,Male,25,Electronics,12,155,Completed
33,2/2/2022,CUST033,Indonesia,Male,48,Beauty,10,75,Completed
34,2/3/2022,CUST034,Philippines,Female,36,Beauty,6,159,Completed
35,2/4/2022,CUST035,Bangladesh,Female,64,Beauty,13,45,Completed
36,2/5/2022,CUST036,France,Male,63,Beauty,12,97,Completed
37,2/6/2022,CUST037,Thailand,Male,63,Beauty,9,42,Cancelled
38,2/7/2022,CUST038,Thailand,Female,47,Beauty,1,156,Completed
39,2/8/2022,CUST039,China,Female,26,Electronics,11,113,Completed
